workload	iteration	wall_ms	peak_rss_kb	db_bytes	exit_code
cold-build	1	2523	92084	42168320	0
cold-build	2	2277	91912	42168320	0
cold-build	3	2520	91820	42168320	0
warm-build	1	277	48628	42172416	0
warm-build	2	207	48508	42172416	0
warm-build	3	202	48572	42172416	0
one-file-build	1	280	48840	42188800	0
one-file-build	2	282	48752	42188800	0
one-file-build	3	207	48740	42213376	0
ask	1	427	76692	42213376	0
grep	1	44	16276	42213376	0
callers	1	30	16148	42213376	0
map	1	18360	16392	42213376	0
ask	2	423	76952	42213376	0
grep	2	40	16168	42213376	0
callers	2	23	16224	42213376	0
map	2	18256	16328	42213376	0
ask	3	334	76812	42213376	0
grep	3	46	16196	42213376	0
callers	3	31	16332	42213376	0
map	3	17779	16676	42213376	0
ask	4	443	77004	42213376	0
grep	4	53	16308	42213376	0
callers	4	29	16388	42213376	0
map	4	19052	16400	42213376	0
ask	5	406	76800	42213376	0
grep	5	42	16328	42213376	0
callers	5	23	16228	42213376	0
map	5	19090	16468	42213376	0
