workload	iteration	wall_ms	peak_rss_kb	db_bytes	exit_code
cold-build	1	945	31608	29806592	0
cold-build	2	1018	31444	29806592	0
cold-build	3	852	31632	29806592	0
warm-build	1	184	27224	29806592	0
warm-build	2	169	27224	29806592	0
warm-build	3	186	27188	29806592	0
one-file-build	1	171	29004	29831168	0
one-file-build	2	220	29096	29835264	0
one-file-build	3	153	29016	29843456	0
ask	1	59	27648	29843456	0
grep	1	48	23896	29843456	0
callers	1	23	11608	29843456	0
status	1	16	12852	29843456	0
ask	2	59	28344	29843456	0
grep	2	48	23772	29843456	0
callers	2	17	11620	29843456	0
status	2	21	12744	29843456	0
ask	3	62	27432	29843456	0
grep	3	62	23904	29843456	0
callers	3	24	11524	29843456	0
status	3	20	12592	29843456	0
ask	4	75	28220	29843456	0
grep	4	65	23648	29843456	0
callers	4	19	11400	29843456	0
status	4	16	12588	29843456	0
ask	5	69	27284	29843456	0
grep	5	49	22832	29843456	0
callers	5	24	11556	29843456	0
status	5	16	12584	29843456	0
mcp-find	1	77	28172	29843456	0
mcp-find	2	97	27804	29843456	0
mcp-find	3	80	27956	29843456	0
mcp-find	4	78	28680	29843456	0
mcp-find	5	90	28608	29843456	0
workspace-cold-build	1	56	17212	884736	0
workspace-cold-build	2	56	17212	884736	0
workspace-cold-build	3	48	17080	884736	0
workspace-warm-build	1	6	9076	884736	0
workspace-warm-build	2	5	8900	884736	0
workspace-warm-build	3	6	9108	884736	0
workspace-ask	1	4	8904	884736	0
