workload	iteration	wall_ms	peak_rss_kb	db_bytes	exit_code
cold-build	1	1130	31404	29806592	0
cold-build	2	1111	31532	29806592	0
cold-build	3	1154	31620	29806592	0
warm-build	1	181	27292	29806592	0
warm-build	2	182	27440	29806592	0
warm-build	3	179	27112	29806592	0
one-file-build	1	206	28988	29831168	0
one-file-build	2	168	29028	29835264	0
one-file-build	3	214	28968	29843456	0
ask	1	76	27576	29843456	0
grep	1	50	23920	29843456	0
callers	1	18	11352	29843456	0
status	1	21	12648	29843456	0
ask	2	76	27908	29843456	0
grep	2	49	23792	29843456	0
callers	2	18	11596	29843456	0
status	2	20	12624	29843456	0
ask	3	58	27504	29843456	0
grep	3	50	23796	29843456	0
callers	3	23	11676	29843456	0
status	3	20	12728	29843456	0
ask	4	76	28256	29843456	0
grep	4	65	23900	29843456	0
callers	4	18	11700	29843456	0
status	4	16	12408	29843456	0
ask	5	78	27324	29843456	0
grep	5	47	23964	29843456	0
callers	5	23	11452	29843456	0
status	5	21	12828	29843456	0
mcp-find	1	72	27220	29843456	0
mcp-find	2	91	29280	29843456	0
mcp-find	3	77	29360	29843456	0
mcp-find	4	94	27968	29843456	0
mcp-find	5	93	29224	29843456	0
workspace-cold-build	1	48	17488	884736	0
workspace-cold-build	2	55	17224	884736	0
workspace-cold-build	3	47	17208	884736	0
workspace-warm-build	1	4	8880	884736	0
workspace-warm-build	2	6	8844	884736	0
workspace-warm-build	3	6	9176	884736	0
workspace-ask	1	3	8920	884736	0
