workload	iteration	wall_ms	peak_rss_kb	db_bytes	exit_code
cold-build	1	607	31304	20045824	0
cold-build	2	635	31536	20045824	0
cold-build	3	613	31336	20045824	0
warm-build	1	132	27240	20045824	0
warm-build	2	157	27056	20045824	0
warm-build	3	170	27240	20045824	0
one-file-build	1	163	28716	20054016	0
one-file-build	2	201	28808	20058112	0
one-file-build	3	212	28888	20066304	0
ask	1	266	76952	20066304	0
grep	1	61	23748	20066304	0
callers	1	23	11500	20066304	0
status	1	20	12424	20066304	0
ask	2	265	76944	20066304	0
grep	2	62	23728	20066304	0
callers	2	24	11460	20066304	0
status	2	15	12656	20066304	0
ask	3	211	76860	20066304	0
grep	3	62	23808	20066304	0
callers	3	24	11428	20066304	0
status	3	20	12532	20066304	0
ask	4	264	73412	20066304	0
grep	4	55	23604	20066304	0
callers	4	24	11488	20066304	0
status	4	16	12344	20066304	0
ask	5	219	76808	20066304	0
grep	5	61	23808	20066304	0
callers	5	17	11308	20066304	0
status	5	16	12444	20066304	0
mcp-find	1	239	77376	20066304	0
mcp-find	2	238	73880	20066304	0
mcp-find	3	291	76208	20066304	0
mcp-find	4	293	77192	20066304	0
mcp-find	5	273	73648	20066304	0
workspace-cold-build	1	40	16728	602112	0
workspace-cold-build	2	40	16872	602112	0
workspace-cold-build	3	38	16564	602112	0
workspace-warm-build	1	6	8972	602112	0
workspace-warm-build	2	6	9000	602112	0
workspace-warm-build	3	6	9032	602112	0
workspace-ask	1	5	10088	602112	0
