workload	iteration	wall_ms	peak_rss_kb	db_bytes	exit_code
cold-build	1	630	31324	20045824	0
cold-build	2	616	31392	20045824	0
cold-build	3	627	31420	20045824	0
warm-build	1	143	27016	20045824	0
warm-build	2	136	27192	20045824	0
warm-build	3	132	27276	20045824	0
one-file-build	1	150	28900	20054016	0
one-file-build	2	203	28960	20058112	0
one-file-build	3	153	28972	20066304	0
ask	1	266	73560	20066304	0
grep	1	66	23736	20066304	0
callers	1	18	11540	20066304	0
status	1	21	12428	20066304	0
ask	2	238	76544	20066304	0
grep	2	49	23760	20066304	0
callers	2	18	11416	20066304	0
status	2	21	12624	20066304	0
ask	3	214	73272	20066304	0
grep	3	61	23724	20066304	0
callers	3	19	11376	20066304	0
status	3	20	12464	20066304	0
ask	4	213	73144	20066304	0
grep	4	67	23672	20066304	0
callers	4	26	11504	20066304	0
status	4	16	12344	20066304	0
ask	5	265	76892	20066304	0
grep	5	52	23800	20066304	0
callers	5	18	11480	20066304	0
status	5	21	12444	20066304	0
mcp-find	1	241	73756	20066304	0
mcp-find	2	267	73812	20066304	0
mcp-find	3	292	74036	20066304	0
mcp-find	4	236	73876	20066304	0
mcp-find	5	234	77464	20066304	0
workspace-cold-build	1	40	16968	602112	0
workspace-cold-build	2	43	16748	602112	0
workspace-cold-build	3	38	16768	602112	0
workspace-warm-build	1	5	8924	602112	0
workspace-warm-build	2	4	9076	602112	0
workspace-warm-build	3	4	8964	602112	0
workspace-ask	1	8	9912	602112	0
